Dataset,DIS,COF,FastABOD,INFLO,kNN,LDOF,LoOP,ODIN,DCROD,ECOD,IForest,OutRanka,WNINOD,FGAS
cardio,0.733,0,0.691,0.741,0.929,0.697,0.667,0.686,0.834,0.935,0.93,0.803,0.906,0.953
diabetes_tested_positive_26_variant1,0.955,0,0.959,0.913,0.958,0.863,0.87,0.898,0.935,0.979,0.969,0.788,0.982,0.989
ecoli,0.88,0,0.88,0.878,0.897,0.863,0.886,0.835,0.875,0.781,0.868,0.848,0.526,0.955
ionosphere_b_24_variant1,1.0,0,1.0,0.992,1.0,0.988,0.993,0.993,1.0,0.994,1.0,0.999,0.994,1.0
iris_Irisvirginica_11_variant1,0.99,0,0.982,0.998,0.995,0.992,0.969,0.993,0.983,0.977,0.958,0.628,1.0,1.0
