0	67/240	89/360	29/90	7/20	19/80	103/240	35/36	221/720	151/360
67/240	0	361/720	127/720	113/240	23/120	41/60	499/720	1/36	293/720
89/360	361/720	0	19/40	197/360	313/720	139/720	421/360	127/240	107/180
29/90	127/720	19/40	0	17/36	17/144	73/144	25/36	49/240	91/360
7/20	113/240	197/360	17/36	0	91/240	139/240	28/45	319/720	41/72
19/80	23/120	313/720	17/144	91/240	0	59/120	529/720	79/360	31/144
103/240	41/60	139/720	73/144	139/240	59/120	0	703/720	32/45	289/720
35/36	499/720	421/360	25/36	28/45	529/720	703/720	0	479/720	23/40
221/720	1/36	127/240	49/240	319/720	79/360	32/45	479/720	0	313/720
151/360	293/720	107/180	91/360	41/72	31/144	289/720	23/40	313/720	0
