0	91/240	25/72	19/45	7/20	19/80	127/240	193/180	221/720	187/360
91/240	0	361/720	127/720	137/240	7/24	41/60	499/720	23/180	293/720
25/72	361/720	0	19/40	233/360	77/144	139/720	421/360	151/240	107/180
19/45	127/720	19/40	0	103/180	157/720	73/144	25/36	73/240	91/360
7/20	137/240	233/360	103/180	0	91/240	163/240	13/18	319/720	241/360
19/80	7/24	77/144	157/720	91/240	0	71/120	601/720	79/360	227/720
127/240	41/60	139/720	73/144	163/240	71/120	0	703/720	73/90	289/720
193/180	499/720	421/360	25/36	13/18	601/720	703/720	0	551/720	23/40
221/720	23/180	151/240	73/240	319/720	79/360	73/90	551/720	0	77/144
187/360	293/720	107/180	91/360	241/360	227/720	289/720	23/40	77/144	0
